sensor,aoi,window,full_slope,full_intercept,n,model_id,fold_n,slope_fold_min,slope_fold_max,slope_fold_median,slope_fold_iqr,slope_fold_sd,intercept_fold_min,intercept_fold_max,intercept_fold_median,intercept_fold_iqr,intercept_fold_sd
landsat,AOI-02,W2022_2023,0.9954864633534538,-0.082362746596592,10105,multi_aoi-96b6c8b4e3c3e4296e0d,5,0.9711255063297868,1.0184243201431546,1.0047754325649545,0.023575272952037984,0.019327159246622677,-0.09269130719830954,-0.07162412050101774,-0.08484000044494133,0.014882133128871877,0.009272508006124669
landsat,AOI-02,W2022_2024,0.9920488741735304,-0.0787494148457917,10599,multi_aoi-7e4b7d5e72139724180a,5,0.9690416630896391,1.0159832797997939,1.0001330925980743,0.028458255872943705,0.02022039353110125,-0.08989095730476293,-0.0637470629153235,-0.08199870632266892,0.0138252185257004,0.01071029193990717
landsat,AOI-02,W2023,1.0328370889095937,-0.0879505108267932,2686,multi_aoi-99757fd8a95a9a628a54,5,0.9971601563746804,1.0554183903532688,1.0325265892704905,0.019941179947645438,0.022102170659776457,-0.09488317499780796,-0.07341280810892825,-0.08271008792386658,0.0017482290964938585,0.007658035323187639
landsat,AOI-02,W2023_2024,1.024334153531635,-0.0827417245398514,3407,multi_aoi-2601e49dcbee21b2af98,5,0.9826509881360516,1.0476535362298298,1.0226118833665432,0.029879294132028056,0.026458765855730534,-0.09089801956386412,-0.06359210759880685,-0.08052435885305398,0.012631730768564386,0.010820567527774078
landsat,AOI-02,W2024,1.0145689898668873,-0.0883789183777191,1542,multi_aoi-451ffc919b335f8bfd3e,5,0.9813130967490735,1.022977455738724,1.0155415334347613,0.013720692514082922,0.016700038434273517,-0.09368029289845814,-0.0672216186556891,-0.08578859526169591,0.004467002870631953,0.01018459940933656
landsat,AOI-03,W2022,0.8794830332519278,-0.0769441523345696,16230,multi_aoi-0afd38339cf775848833,5,0.8712642511816447,0.8961438942954293,0.88557680249626,0.0063706995061501015,0.009129354889929987,-0.07990071347886907,-0.0742220620220446,-0.07836263569155488,0.004026503759166855,0.0025484887533944157
landsat,AOI-03,W2022_2023,0.919049435471816,-0.077295417037905,27408,multi_aoi-f31526435766b1646444,5,0.9110576050428508,0.9308027946637448,0.9206586779826114,0.006096391860763606,0.0073837558850182415,-0.07895927037302802,-0.07438404568826254,-0.0759111404791942,0.002685352582381645,0.0019410149329335473
landsat,AOI-03,W2022_2024,0.9060435273731696,-0.075066090621527,42959,multi_aoi-457fd1e47aad79344611,5,0.902094614600301,0.9135838640850058,0.9075872388065815,0.0058445963397745215,0.004677428362106405,-0.07659226074859699,-0.07265498656878525,-0.07466261818778364,0.0013125247052118982,0.0014684360476836845
landsat,AOI-03,W2023,0.9643769491644604,-0.0749491052862718,11178,multi_aoi-6eebff4a27fbdf1ef135,5,0.9503343781371527,0.9889326352776538,0.9575031615564584,0.005275150428276754,0.015635009214224733,-0.07977286158792807,-0.06880032139026349,-0.07066827529468508,0.0020915863424416647,0.0044025394188164
landsat,AOI-03,W2023_2024,0.915046001927823,-0.072321761311474,26729,multi_aoi-0d9c4d047931ccf6e956,5,0.9065118724208716,0.9254048081109956,0.9141157335854447,0.01095976333048998,0.007845315498106537,-0.07337185852090905,-0.06881411142558344,-0.07202563316195407,0.0024625971455422835,0.0018754097114491554
