Sensor,AOI,sensor,history,train_years,slope,intercept,train_n,training_FCOVER_mean,n,RMSE,MAE,Bias,R2,Pearson_r,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
Sentinel-2,AOI-01,sentinel2,W2022_2024,2022;2023;2024,0.0705736527026,-0.00219467781307,59485,0.000169656220748,19878,0.00135688619776,0.000328774671504,-0.000213485298377,0.393754449249,0.846005175207,0.725726934299,0,0.725726934299,-0.000263144527212,0.000131619856495,7.49267038061e-07,2.58876558342e-07,0.00154553317502,0.000723539055211,-0.000608249682085,0.213464411531,0.585862910429,0.00135688619776,0.000328774671504,-0.000213485298377,0.393754449249,0.846005175207,0.00018864697726
Landsat 8/9,AOI-01,landsat,W2022,2022,0.0880375779597,-0.00466823878406,19149,0.000142461751077,14738,0.00139512800465,0.00051331196335,-2.66464915574e-05,0.333570661625,0.663535073635,0.433708780024,0,0.433708780024,0.000122785614968,0.000354409298772,7.04831125621e-07,3.32174125652e-07,0.00148804792738,0.000744935647154,-0.000258270175361,0.241841805284,0.515019921234,0.00139512800465,0.00051331196335,-2.66464915574e-05,0.333570661625,0.663535073635,9.2919922728e-05
Landsat 8/9,AOI-01,landsat,W2023,2023,0.109540212028,-0.0056856026416,19878,0.000184726838992,14738,0.00135561868885,0.000601387144725,0.000133080336007,0.37078206965,0.648957063224,0.377120369114,0,0.377120369114,0.00027559984334,0.000514136126336,1.09117914481e-06,5.61538821723e-07,0.00147786796973,0.00083992342772,-0.000105455946989,0.252179668894,0.515019921234,0.00135561868885,0.000601387144725,0.000133080336007,0.37078206965,0.648957063224,0.000122249280876
Landsat 8/9,AOI-01,landsat,W2024,2024,0.100808258743,-0.00516514117042,19872,0.000183172308368,14738,0.00137522164806,0.000617049607947,0.000134996085497,0.352452851491,0.640418385265,0.347197720179,0,0.347197720179,0.000320866491924,0.000516051875827,9.24147151008e-07,4.99633121927e-07,0.00146838151287,0.00081223499185,-6.01892984058e-05,0.261749395924,0.515019921234,0.00137522164806,0.000617049607947,0.000134996085497,0.352452851491,0.640418385265,9.31598648102e-05
Landsat 8/9,AOI-01,landsat,W2022_2023,2022;2023,0.098233321949,-0.00515115476905,39027,0.000163989037765,14738,0.00137130101987,0.000554014743539,4.798856368e-05,0.356139781059,0.655875377852,0.402293391234,0,0.402293391234,0.000194724265361,0.000429044354009,8.77539277623e-07,4.33444745476e-07,0.00147778813968,0.000788334832187,-0.000186331524968,0.252260456791,0.515019921234,0.00137130101987,0.000554014743539,4.798856368e-05,0.356139781059,0.655875377852,0.000106487119807
Landsat 8/9,AOI-01,landsat,W2023_2024,2023;2024,0.105328149502,-0.00543241236231,39750,0.000183949691003,14738,0.00136509522525,0.000609735217302,0.000135113224341,0.361954147242,0.644741621579,0.362057266929,0,0.362057266929,0.000299568751488,0.000516169014671,1.0088760466e-06,5.32079716939e-07,0.00147241857929,0.000826335480485,-8.14870388416e-05,0.257684425473,0.515019921234,0.00136509522525,0.000609735217302,0.000135113224341,0.361954147242,0.644741621579,0.000107323354049
Landsat 8/9,AOI-01,landsat,W2022_2024,2022;2023;2024,0.0986989982091,-0.00513481320146,58899,0.000170461303057,14738,0.00137242233825,0.000573814940359,7.48029758357e-05,0.355086376347,0.650517170949,0.381734292306,0,0.381734292306,0.000236408037683,0.000455858766165,8.85878969371e-07,4.51731463265e-07,0.00147329014193,0.000793265668841,-0.000144647752647,0.256805373808,0.515019921234,0.00137242233825,0.000573814940359,7.48029758357e-05,0.355086376347,0.650517170949,0.000100867803683
MODIS,AOI-01,modis,W2022,2022,0.0956840411553,-0.00528951657806,19878,0.000139853107648,19878,0.00139749949088,0.000574249235796,0.000156116145249,0.356919958203,0.671799242044,0.360599657913,0,0.360599657913,0.00032973371469,0.000501221300122,7.45027027123e-07,4.33732824431e-07,0.00145691777762,0.000745736821227,-1.53714401823e-05,0.301073028748,0.55165869981,0.00139749949088,0.000574249235796,0.000156116145249,0.356919958203,0.671799242044,5.9418286741e-05
MODIS,AOI-01,modis,W2023,2023,0.084994799976,-0.00475537710806,19878,0.000184726838992,19878,0.00141775287916,0.000520380690067,6.46554464353e-05,0.338145096954,0.68303105934,0.390985008552,0,0.390985008552,0.000236124597762,0.000409760601308,5.87865159216e-07,3.24037081673e-07,0.00147054051816,0.000694016693612,-0.00010898055711,0.287941450779,0.55165869981,0.00141775287916,0.000520380690067,6.46554464353e-05,0.338145096954,0.68303105934,5.27876389995e-05
MODIS,AOI-01,modis,W2024,2024,0.0511098817216,-0.00281509443283,19878,0.000183117019413,19878,0.00153019142187,0.000472833643629,-7.07382727624e-05,0.229002019197,0.668497574416,0.351091659121,0,0.351091659121,0.000186442859685,0.00027436688211,2.12570386047e-07,1.25745094652e-07,0.00154538488043,0.000560757666055,-0.000158662295188,0.213615341162,0.55165869981,0.00153019142187,0.000472833643629,-7.07382727624e-05,0.229002019197,0.668497574416,1.51934585624e-05
