model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2023_2024,19233,0,0,0,0.540219847795,0.540219847795,0.00632911662939,0.00632911662939,0.063692462534,0.0517376722639,-0.0265058849489,0.577435959769,0.806626166995,0.063692462534,0.0517376722639,-0.0265058849489,0.577435959769,0.806626166995,0
OLS,Sentinel-2,AOI-00,sentinel2,OLS,W2022_2024,19233,0,0,0,0.540658010215,0.540658010215,0.00642438957538,0.00642438957538,0.0635190706275,0.0515710545135,-0.0260677225285,0.579733545707,0.806626166995,0.0635190706275,0.0515710545135,-0.0260677225285,0.579733545707,0.806626166995,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2022,20251,0,0,0,0.557344191247,0.557344191247,0.00838217909959,0.00838217909959,0.0486036339772,0.0390026305283,-0.00858203557608,0.75533874689,0.875300807162,0.0486036339772,0.0390026305283,-0.00858203557608,0.75533874689,0.875300807162,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2023,20251,0,0,0,0.562784947383,0.562784947383,0.00733355361878,0.00733355361878,0.047622661005,0.0388853851638,-0.00314127944034,0.765115136904,0.875300807162,0.047622661005,0.0388853851638,-0.00314127944034,0.765115136904,0.875300807162,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2024,20251,0,0,0,0.539305267796,0.539305267796,0.00677578789337,0.00677578789337,0.0545914869893,0.0434553527862,-0.0266209590273,0.691341983855,0.875300807162,0.0545914869893,0.0434553527862,-0.0266209590273,0.691341983855,0.875300807162,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2022_2023,20251,0,0,0,0.559908581154,0.559908581154,0.00788610505804,0.00788610505804,0.047978478439,0.0388599027272,-0.00601764566874,0.761592093413,0.875300807162,0.047978478439,0.0388599027272,-0.00601764566874,0.761592093413,0.875300807162,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2023_2024,20251,0,0,0,0.550773343461,0.550773343461,0.00701299438904,0.00701299438904,0.0499264728446,0.0402435700837,-0.0151528833616,0.74183968424,0.875300807162,0.0499264728446,0.0402435700837,-0.0151528833616,0.74183968424,0.875300807162,0
OLS,Landsat 8/9,AOI-00,landsat,OLS,W2022_2024,20251,0,0,0,0.552361395088,0.552361395088,0.00738509753223,0.00738509753223,0.0494157986509,0.0398007839972,-0.0135648317347,0.747093873476,0.875300807162,0.0494157986509,0.0398007839972,-0.0135648317347,0.747093873476,0.875300807162,0
OLS,MODIS,AOI-00,modis,OLS,W2022,20256,0,0,0,0.56437476284,0.56437476284,0.00838383089357,0.00838383089357,0.0388981351379,0.0308910183336,-0.00143625707459,0.844126422004,0.918938144275,0.0388981351379,0.0308910183336,-0.00143625707459,0.844126422004,0.918938144275,0
OLS,MODIS,AOI-00,modis,OLS,W2023,20256,0,0,0,0.566401787669,0.566401787669,0.00774266099798,0.00774266099798,0.0389458205608,0.0311352127046,0.000590767754635,0.843744015317,0.918938144275,0.0389458205608,0.0311352127046,0.000590767754635,0.843744015317,0.918938144275,0
OLS,MODIS,AOI-00,modis,OLS,W2024,20256,0,0,0,0.547927941649,0.547927941649,0.00710665459191,0.00710665459191,0.04322787931,0.033662001055,-0.0178830782653,0.80749465009,0.918938144275,0.04322787931,0.033662001055,-0.0178830782653,0.80749465009,0.918938144275,0
OLS,MODIS,AOI-00,modis,OLS,W2022_2023,20256,0,0,0,0.56522652031,0.56522652031,0.00808100061429,0.00808100061429,0.0388677931787,0.0309567511108,-0.000584499604653,0.844369501274,0.918938144275,0.0388677931787,0.0309567511108,-0.000584499604653,0.844369501274,0.918938144275,0
